State,District
andhra+pradesh,hyderabad
arunachal+pradesh,dibang+valley
arunachal+pradesh,lower+subansiri
assam,darrang
assam,dhemaji
assam,north+cachar+hills
bihar,kaimur
bihar,munger
bihar,paschim+champaran
bihar,purba+champaran
bihar,purnia
dadra+and+nagar+haveli,dadra+and+nagar+haveli
jammu+and+kashmir,punch
jharkhand,dumka
jharkhand,sahebganj
madhya+pradesh,east+nimar
madhya+pradesh,west+nimar
maharashtra,beed
maharashtra,dhule
maharashtra,hingoli
maharashtra,nandurbar
manipur,bishnupur
manipur,chandel
manipur,churachandpur
manipur,senapati
manipur,tamenglong
manipur,thoubal
manipur,ukhrul
meghalaya,jaintia+hills
meghalaya,west+khasi+hills
mizoram,champhai
mizoram,kolasib
mizoram,lawngtlai
mizoram,mamit
mizoram,saiha
nagaland,mokokchung
nagaland,tuensang
nagaland,wokha
nagaland,zunheboto
pondicherry,yanam
uttar+pradesh,baghpat
uttar+pradesh,budaun
uttar+pradesh,kanpur+nagar
uttar+pradesh,shrawasti
